39,39,lz4,lz4,FALSE,FALSE,12,12,2,2,FALSE,FALSE,85,85,FALSE,FALSE,45,45,13,13,FALSE,FALSE,TRUE,TRUE,15,15,162,162,TRUE,TRUE,562,562,100,100,23,23,0.825845005,0.825845005,213,213,82,82,88,88,TRUE,TRUE,0.626090076,0.626090076,0.897188164,0.897188164,42,42,36,36,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,829,829,1.967515542,1.967515542,,92939,wordcount,application_1546745555717_0115,gigantic
23,23,lz4,lz4,FALSE,FALSE,6,6,9,9,FALSE,FALSE,100,100,TRUE,TRUE,31,31,1,1,FALSE,FALSE,FALSE,FALSE,84,84,143,143,TRUE,TRUE,914,914,54,54,28,28,0.815300953,0.815300953,338,338,83,83,105,105,TRUE,TRUE,0.739038178,0.739038178,0.497064274,0.497064274,85,85,303,303,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,623,623,3.165185557,3.165185557,,476042,wordcount,application_1546745555717_0116,gigantic
13,13,lzf,lzf,TRUE,TRUE,69,69,4,4,FALSE,FALSE,7,7,FALSE,FALSE,84,84,3,3,TRUE,TRUE,FALSE,FALSE,100,100,29,29,FALSE,FALSE,111,111,13,13,31,31,0.652524822,0.652524822,112,112,22,22,9,9,TRUE,TRUE,0.675726392,0.675726392,0.742803945,0.742803945,81,81,324,324,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,859,859,1.582323121,1.582323121,,139853,wordcount,application_1546745555717_0117,gigantic
17,17,lz4,lz4,FALSE,FALSE,16,16,8,8,TRUE,TRUE,3,3,FALSE,FALSE,52,52,7,7,TRUE,TRUE,TRUE,TRUE,964,964,107,107,TRUE,TRUE,250,250,17,17,20,20,0.667627235,0.667627235,484,484,113,113,16,16,TRUE,TRUE,0.789380816,0.789380816,0.943864607,0.943864607,61,61,165,165,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,822,822,3.151431994,3.151431994,,90147,wordcount,application_1546745555717_0118,gigantic
19,19,snappy,snappy,FALSE,FALSE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,65,65,14,14,FALSE,FALSE,FALSE,FALSE,497,497,97,97,FALSE,FALSE,364,364,115,115,41,41,0.851017993,0.851017993,124,124,121,121,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,302,302,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,90085,wordcount,application_1546745555717_0119,gigantic
22,22,snappy,snappy,FALSE,FALSE,89,89,7,7,FALSE,FALSE,50,50,FALSE,FALSE,65,65,14,14,FALSE,FALSE,TRUE,TRUE,497,497,82,82,TRUE,TRUE,364,364,62,62,41,41,0.851017993,0.851017993,124,124,63,63,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,302,302,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,90057,wordcount,application_1546745555717_0120,gigantic
28,28,snappy,snappy,TRUE,TRUE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,65,65,2,2,FALSE,FALSE,TRUE,TRUE,497,497,161,161,TRUE,TRUE,364,364,62,62,41,41,0.851017993,0.851017993,124,124,121,121,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,302,302,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,263831,wordcount,application_1546745555717_0121,gigantic
19,19,snappy,snappy,FALSE,FALSE,89,89,4,4,TRUE,TRUE,50,50,FALSE,FALSE,24,24,14,14,FALSE,FALSE,TRUE,TRUE,497,497,204,204,TRUE,TRUE,364,364,62,62,41,41,0.851017993,0.851017993,307,307,121,121,6,6,FALSE,FALSE,0.922102353,0.922102353,0.641070539,0.641070539,83,83,302,302,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,95196,wordcount,application_1546745555717_0122,gigantic
19,19,snappy,snappy,FALSE,FALSE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,49,49,15,15,FALSE,FALSE,FALSE,FALSE,631,631,161,161,TRUE,TRUE,364,364,75,75,41,41,0.852459531,0.852459531,124,124,117,117,25,25,FALSE,FALSE,0.922102353,0.922102353,0.576630677,0.576630677,83,83,302,302,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,479,479,2.191236063,2.191236063,,91698,wordcount,application_1546745555717_0123,gigantic
21,21,lzf,lzf,TRUE,TRUE,89,89,4,4,FALSE,FALSE,50,50,FALSE,FALSE,82,82,14,14,FALSE,FALSE,TRUE,TRUE,497,497,177,177,TRUE,TRUE,318,318,62,62,41,41,0.851017993,0.851017993,124,124,117,117,5,5,FALSE,FALSE,0.90007491,0.90007491,0.736948158,0.736948158,83,83,302,302,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,479,479,2.191236063,2.191236063,,92236,wordcount,application_1546745555717_0124,gigantic
