spark.executor.cores,spark.executor.memory,spark.executor.instances,hibench.default.map.parallelism,spark.memory.offHeap.enabled,MB.spark.memory.offHeap.size,spark.memory.fraction,spark.memory.storageFraction,Size.spark.shuffle.file.buffer,spark.speculation,MB.spark.reducer.maxSizeInFlight,spark.shuffle.sort.bypassMergeThreshold,MS.spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,MB.spark.broadcast.blockSize,spark.io.compression.codec,Size.spark.io.compression.3.blockSize,Size.spark.io.compression.1.blockSize,spark.kryo.referenceTracking,MB.spark.kryoserializer.buffer.max,Size.spark.kryoserializer.buffer,MB.spark.storage.memoryMapThreshold,Time.spark.network.timeout,Time.spark.locality.wait,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.serializerss,exec_time,App,App_id,input_size
10,19,237,34,0,118,0.8046875,0.5859375,86,0,19,732,87,3.1875,0.234375,27,3,110,86,1,21,19,380,192,9,0,0,0,1,2,341113,tpch,application_1540980293743_2054,20
7,7,148,11,1,180,0.8984375,0.9296875,63,1,122,901,520,3.9375,0.546875,19,1,102,110,0,43,90,239,222,9,0,0,0,0,2,311304,tpch,application_1540980293743_2054,20
14,26,290,32,0,675,0.6484375,0.6796875,126,0,59,451,25,1.9375,0.046875,82,2,39,47,1,103,27,464,462,4,1,1,1,1,1,271634,tpch,application_1540980293743_2054,20
3,17,219,42,1,922,0.5234375,0.8046875,94,0,27,676,767,2.9375,0.796875,114,2,70,15,0,13,59,127,342,7,1,0,0,1,1,360198,tpch,application_1540980293743_2054,20
11,36,76,21,0,427,0.7734375,0.5546875,31,1,90,226,272,4.9375,0.296875,51,3,7,78,1,73,122,352,102,2,0,1,1,0,2,268312,tpch,application_1540980293743_2054,20
1,12,183,37,1,551,0.5859375,0.6171875,47,0,43,339,149,4.4375,0.921875,35,3,23,126,1,58,106,183,282,5,0,1,1,0,1,452028,tpch,application_1540980293743_2054,20
9,31,41,16,0,56,0.8359375,0.8671875,110,1,106,789,644,2.4375,0.421875,98,1,86,63,0,118,43,408,42,1,1,0,0,1,2,264020,tpch,application_1540980293743_2054,20
5,22,112,27,1,303,0.9609375,0.7421875,78,1,74,114,396,1.4375,0.671875,66,3,55,31,1,28,11,71,162,8,1,1,1,1,2,379330,tpch,application_1540980293743_2054,20
12,41,255,48,0,798,0.7109375,0.9921875,15,0,11,564,891,3.4375,0.171875,3,2,118,94,0,88,74,296,402,3,0,0,0,0,1,252997,tpch,application_1540980293743_2054,20
6,27,123,26,0,574,0.58984375,0.94921875,44,0,89,557,698,3.65625,0.8828125,4,3,111,52,1,104,44,158,121,7,1,1,1,0,2,346984,tpch,application_1540980293743_2054,20
14,8,266,47,1,79,0.83984375,0.69921875,107,1,26,107,203,1.65625,0.3828125,67,2,48,115,0,44,107,383,361,2,0,0,0,1,1,260589,tpch,application_1540980293743_2054,20
3,37,194,37,0,327,0.96484375,0.82421875,75,1,58,782,945,2.65625,0.6328125,99,3,79,83,1,74,75,271,481,9,0,1,1,1,1,472903,tpch,application_1540980293743_2054,20
10,18,52,16,1,822,0.71484375,0.57421875,12,0,121,332,450,4.65625,0.1328125,36,1,16,20,0,14,12,496,241,4,1,0,0,0,2,291432,tpch,application_1540980293743_2054,20
1,32,230,42,0,203,0.90234375,0.51171875,60,1,10,219,79,4.15625,0.5078125,52,1,32,36,0,119,28,102,421,8,1,0,0,0,1,1053711,tpch,application_1540980293743_2054,20
8,13,88,21,1,698,0.65234375,0.76171875,123,0,73,669,574,2.15625,0.0078125,115,3,95,99,1,59,91,327,181,3,0,1,1,1,2,295388,tpch,application_1540980293743_2054,20
