22,22,lz4,lz4,TRUE,TRUE,108,108,7,7,TRUE,TRUE,26,26,FALSE,FALSE,68,68,7,7,FALSE,FALSE,TRUE,TRUE,922,922,293,293,TRUE,TRUE,620,620,78,78,30,30,0.557607137,0.557607137,187,187,16,16,105,105,FALSE,FALSE,0.747085555,0.747085555,0.323337264,0.323337264,50,50,253,253,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,831,831,1.945428563,1.945428563,,326339,tpch,application_1543991612114_0107,20
TRUE,TRUE,lz4,lz4,TRUE,TRUE,112,112,6,6,33,33,61,61,TRUE,TRUE,57,57,5,5,FALSE,FALSE,TRUE,TRUE,377,377,33,33,TRUE,TRUE,987,987,117,117,36,36,0.835843607,0.835843607,54,54,53,53,83,83,TRUE,TRUE,0.658129134,0.658129134,0.83904531,0.83904531,113,113,382,382,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,147,147,1.031422933,1.031422933,,414025,tpch,application_1543991612114_0107,20
40,40,lzf,lzf,TRUE,TRUE,74,74,5,5,FALSE,FALSE,13,13,FALSE,FALSE,92,92,13,13,TRUE,TRUE,FALSE,FALSE,84,84,200,200,FALSE,FALSE,700,700,42,42,13,13,0.844726735,0.844726735,352,352,41,41,19,19,TRUE,TRUE,0.610516754,0.610516754,0.858471538,0.858471538,45,45,267,267,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,764,764,3.879245653,3.879245653,,283554,tpch,application_1543991612114_0107,20
FALSE,FALSE,snappy,snappy,FALSE,FALSE,82,82,8,8,27,27,104,104,FALSE,FALSE,79,79,15,15,TRUE,TRUE,TRUE,TRUE,256,256,214,214,FALSE,FALSE,618,618,29,29,31,31,0.85411088,0.85411088,345,345,31,31,91,91,TRUE,TRUE,0.65720826,0.65720826,0.836254752,0.836254752,125,125,442,442,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,504,504,4.767358361,4.767358361,,312591,tpch,application_1543991612114_0107,20
lz4,lz4,FALSE,FALSE,13,13,2,2,TRUE,TRUE,16,16,FALSE,FALSE,111,111,8,8,FALSE,FALSE,53,53,TRUE,TRUE,307,307,138,138,TRUE,TRUE,124,124,38,38,49,49,0.716239691,0.716239691,224,224,69,69,35,35,TRUE,TRUE,0.576108548,0.576108548,0.923031623,0.923031623,106,106,399,399,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,964,964,4.873107239,4.873107239,,233229,tpch,application_1543991612114_0107,20
29,29,lz4,lz4,TRUE,TRUE,115,115,10,10,FALSE,FALSE,59,59,TRUE,TRUE,86,86,3,3,TRUE,TRUE,FALSE,FALSE,472,472,109,109,TRUE,TRUE,876,876,115,115,22,22,0.660487888,0.660487888,488,488,86,86,91,91,TRUE,TRUE,0.798598402,0.798598402,0.025970002,0.025970002,69,69,120,120,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,502,502,3.915950824,3.915950824,,520373,tpch,application_1543991612114_0107,20
12,12,lzf,lzf,TRUE,TRUE,21,21,2,2,TRUE,TRUE,14,14,TRUE,TRUE,92,92,15,15,FALSE,FALSE,FALSE,FALSE,115,115,151,151,TRUE,TRUE,978,978,39,39,33,33,0.995083801,0.995083801,109,109,68,68,11,11,TRUE,TRUE,0.8376902,0.8376902,0.116624053,0.116624053,35,35,23,23,org.apache.spark.serializer.JavaSerializer,org.apache.spark.serializer.JavaSerializer,112,112,3.74723283,3.74723283,,276893,tpch,application_1543991612114_0107,20
31,31,lzf,lzf,FALSE,FALSE,25,25,3,3,TRUE,TRUE,81,81,TRUE,TRUE,21,21,11,11,TRUE,TRUE,FALSE,FALSE,870,870,84,84,FALSE,FALSE,739,739,34,34,20,20,0.659219646,0.659219646,271,271,93,93,58,58,TRUE,TRUE,0.674481111,0.674481111,0.983235825,0.983235825,30,30,421,421,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,935,935,1.64216715,1.64216715,,313273,tpch,application_1543991612114_0107,20
17,17,lzf,lzf,FALSE,FALSE,15,15,1,1,TRUE,TRUE,113,113,FALSE,FALSE,75,75,6,6,TRUE,TRUE,TRUE,TRUE,277,277,172,172,TRUE,TRUE,229,229,120,120,30,30,0.680947538,0.680947538,194,194,61,61,31,31,TRUE,TRUE,0.756650352,0.756650352,0.114182575,0.114182575,9,9,483,483,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,105,105,3.068623166,3.068623166,,313087,tpch,application_1543991612114_0107,20
18,18,lz4,lz4,FALSE,FALSE,44,44,5,5,FALSE,FALSE,55,55,TRUE,TRUE,82,82,15,15,FALSE,FALSE,TRUE,TRUE,520,520,131,131,TRUE,TRUE,361,361,91,91,15,15,0.893681425,0.893681425,99,99,62,62,75,75,TRUE,TRUE,0.958562677,0.958562677,0.286600297,0.286600297,43,43,484,484,org.apache.spark.serializer.KryoSerializer,org.apache.spark.serializer.KryoSerializer,268,268,3.717299358,3.717299358,,283718,tpch,application_1543991612114_0107,20
